"Time (s)"	"Acceleration (m/s²)"
7.764750044E-3	-3.264383554E-2
4.797975009E-2	-2.738309562E-2
8.819375001E-2	-3.666204214E-2
1.284087501E-1	-3.132938147E-3
1.686227501E-1	-4.564219594E-2
2.088377500E-1	-3.591301382E-2
2.490517501E-1	-1.479813337E-2
2.892667501E-1	-3.260290504E-2
3.294807500E-1	-1.314454079E-3
3.696957501E-1	-4.097904146E-2
4.099097501E-1	-4.651693940E-2
4.501247500E-1	-3.872903287E-2
4.903387501E-1	-3.573935151E-2
5.305537501E-1	-4.621580780E-2
5.707677500E-1	-2.810230315E-2
6.109827501E-1	-4.471073449E-2
6.511967500E-1	-5.190573335E-3
6.914117500E-1	-9.823322296E-3
7.316257501E-1	-1.596055984E-2
7.718407500E-1	-3.077389598E-2
8.120547500E-1	-2.687906563E-2
8.522697501E-1	-1.086295724E-2
8.924837500E-1	-3.615859687E-2
9.326977500E-1	-4.005108833E-2
9.729117501E-1	-1.983960271E-2
1.013126750E0	-3.944297791E-2
1.053340750E0	-1.698440731E-2
1.093555750E0	-3.479327202E-2
1.133769750E0	-1.742996514E-2
1.173984750E0	-1.068987966E-2
1.214198750E0	-3.957921803E-2
1.254413750E0	-2.909632981E-2
1.294627750E0	-1.787142992E-2
1.334842750E0	-3.658427417E-2
1.375056750E0	-6.652377248E-3
1.415271750E0	-4.152634084E-2
1.455485750E0	-3.852671921E-2
1.495700750E0	-4.076912642E-2
1.535914750E0	6.232547164E-3
1.576129750E0	-7.694935799E-3
1.616343750E0	-5.152566433E-3
1.656557750E0	-1.054954648E-2
1.696772750E0	-4.363367736E-2
1.736986750E0	-6.055025697E-2
1.777201750E0	-4.737414122E-2
1.817415750E0	-3.015584528E-2
1.857630750E0	-2.310819626E-3
1.897844833E0	-2.162183404E-2
1.938059833E0	-5.335408866E-2
1.978273833E0	-4.406461716E-3
2.018488833E0	-3.987508714E-2
2.058702833E0	-4.541123092E-2
2.098917833E0	-1.830704749E-2
2.139131833E0	-1.395964265E-2
2.179346833E0	-2.024013698E-2
2.219560833E0	-2.009688020E-2
2.259775833E0	-3.177552402E-2
2.299989833E0	-3.506809115E-2
2.340203833E0	-2.578563631E-2
2.380418833E0	-2.353796661E-2
2.420632833E0	-3.327650428E-3
2.460847833E0	-1.291065216E-2
