"t (s)"	"Tilt up/down (deg)"	"Tilt left/right (deg)"
5.471578650E-1	7.401424341E-1	6.299428137E-1
1.047157865E0	8.092479408E-1	7.034935130E-1
1.047157865E0	8.092479408E-1	7.034935130E-1
1.547157865E0	1.620230083E0	7.307281375E-1
2.547157865E0	3.170727214E1	4.399324676E-1
3.047157865E0	4.760975527E1	7.721173143E-1
3.547157865E0	5.731657528E1	1.042073982E0
4.047157865E0	6.440433178E1	1.145788649E0
4.547157865E0	7.524019861E1	2.068222514E0
5.047157865E0	7.524019861E1	2.068222514E0
5.547157865E0	8.678646668E1	8.892404784E0
6.047157865E0	9.168158217E1	1.586144742E2
6.547157865E0	9.251229520E1	1.642919161E2
7.047157865E0	8.968973123E1	7.164991726E1
7.547157865E0	8.047533963E1	6.981341853E0
8.047157865E0	8.047533963E1	6.981341853E0
8.547157865E0	5.726176930E1	1.503026891E0
9.047157865E0	3.704236314E1	4.332166038E-1
9.547157865E0	2.700073110E1	3.256599635E-1
1.004715786E1	1.796125201E1	3.310586787E-1
1.054715786E1	9.361117259E0	2.611361552E-1
1.154715786E1	1.733399160E0	4.319772953E-1
1.154715786E1	1.733399160E0	4.319772953E-1
1.204715786E1	7.994001768E-1	4.787135048E-1
1.254715786E1	7.994001768E-1	4.787135048E-1
1.304715786E1	7.983215562E-1	5.490915244E-1
1.354715786E1	7.983215562E-1	5.490915244E-1
1.404715786E1	7.847959679E-1	5.477150528E-1
1.454715786E1	7.847959679E-1	5.477150528E-1
1.504715786E1	7.766115661E-1	5.465213245E-1
1.554715786E1	7.766115661E-1	5.465213245E-1
1.604715787E1	7.882353176E-1	5.610940160E-1
