"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
7.396631600E-2	4.079530239E-1	-4.850230217E-1	1.215918064E0	1.371178231E0
7.888709800E-2	2.163796425E-1	-4.151115417E-1	9.993448257E-1	1.103552365E0
8.382183700E-2	3.715038300E-2	-3.434619904E-1	7.800946236E-1	8.531669892E-1
8.877381600E-2	-1.112325191E-1	-2.509679794E-1	5.979619026E-1	6.579635529E-1
9.374548300E-2	-2.013900280E-1	-1.507587433E-1	4.292774200E-1	4.975592883E-1
9.873840000E-2	-2.422289848E-1	-5.963039398E-2	2.661914825E-1	3.648130622E-1
1.037532430E-1	-2.232007980E-1	6.275177002E-3	1.378717422E-1	2.624244489E-1
1.087898060E-1	-1.561269760E-1	4.947948456E-2	4.992198944E-2	1.712193244E-1
1.138469930E-1	-6.086206436E-2	6.286954880E-2	-3.689861298E-2	9.496461806E-2
1.189229310E-1	4.391908646E-2	3.941202164E-2	-1.052284241E-1	1.206449951E-1
1.240150660E-1	1.083974838E-1	2.661657333E-2	-1.474361420E-1	1.849212601E-1
1.291150660E-1	1.484247446E-1	6.022930145E-3	-1.925554276E-1	2.431949284E-1
1.342150660E-1	1.788270473E-1	9.303092957E-4	-2.270746231E-1	2.890378224E-1
1.393150660E-1	1.953313351E-1	3.826045990E-2	-2.516994476E-1	3.208906437E-1
1.444150660E-1	1.889533997E-1	5.674982071E-2	-2.165403366E-1	2.929396640E-1
1.495150660E-1	1.692321301E-1	1.031346321E-1	-1.515083313E-1	2.494615013E-1
1.545900140E-1	1.408488750E-1	1.303057671E-1	-8.973789215E-2	2.118274954E-1
1.596209520E-1	9.009575844E-2	1.110663414E-1	-9.989929199E-2	1.744501259E-1
1.646518890E-1	4.524576664E-2	1.070017815E-1	-8.708667755E-2	1.451917699E-1
1.696828270E-1	1.451611519E-3	8.499956131E-2	-1.491165161E-2	8.630984853E-2
1.747137640E-1	-2.295434475E-2	7.318878174E-2	9.179115295E-2	1.196207151E-1
1.797447020E-1	-4.735887051E-2	4.318332672E-2	1.627407074E-1	1.749062611E-1
1.847756390E-1	-6.271064281E-2	-7.915496826E-5	2.271194458E-1	2.356180673E-1
1.898065770E-1	-6.933319569E-2	-3.790569305E-2	2.900037766E-1	3.005763198E-1
